Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-1.49906191369606; MSE:1.945945945945946; MAE:1.135135135135135,0.2702702702702703,0.32432432432432434,R2:-0.5785255159474669; MSE:1.2291513513513512; MAE:0.9783783783783783,0.2972972972972973,0.2702702702702703,0.24324324324324326,0.24324324324324326,
Time,0.0007651300499856007,0.0007584495499759214,0.0076304099900153235,0.006251818590026232,0.000987919539984432,0.00014170317997923122,0.0009077882299607154,0.0008506042000226443,
Number of Turns,0.0,0.0,0.030303030303030304,0.022727272727272728,,,,,
Player 1 Turn Taking,0.0,0.0,0.07954545454545456,0.07954545454545454,,,,,
Player 2 Turn Taking,0.0,0.0,0.02272727272727273,0.022727272727272728,,,,,
Player 3 Turn Taking,0.0,0.0,0.02272727272727273,0.022727272727272728,,,,,
Player 4 Turn Taking,0.0,0.0,0.02272727272727273,0.022727272727272728,,,,,
Player 1 SA Average,0.0,0.0,0.06818181818181819,0.06818181818181818,,,,,
Player 2 SA Average,0.0,0.0,0.12500000000000003,0.125,,,,,
Player 3 SA Average,0.0,0.0,0.07954545454545456,0.07954545454545454,,,,,
Player 4 SA Average,0.0,0.0,0.034090909090909095,0.03409090909090909,,,,,
SA 3 Turn Taking,0.0,0.0,0.05681818181818182,0.056818181818181816,,,,,
SA 4 Turn Taking,0.0,0.0,0.06818181818181819,0.06818181818181818,,,,,
SA 5 Turn Taking,0.0,0.0,0.07196969696969699,0.06818181818181818,,,,,
SA 6 Turn Taking,0.0,0.0,0.06818181818181819,0.06818181818181818,,,,,
Positive Sentiment Rating,0.0,0.0,0.011363636363636366,0.011363636363636364,,,,,
Negative Sentiment Rating,0.0,0.0,0.14772727272727276,0.14772727272727273,,,,,
Neutral Sentiment Rating,1.0,1.0,0.06818181818181819,0.07954545454545454,,,,,
Compound Sentiment Rating,0.0,0.0,0.02272727272727273,0.022727272727272728,,,,,
