Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:0.09999999999999987; MSE:0.7142857142857143; MAE:0.42857142857142855,0.7142857142857143,0.8095238095238095,R2:0.3869259999999999; MSE:0.4865666666666667; MAE:0.5480952380952382,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.6666666666666666,
Time,0.0007352041600097437,0.0007380330500018317,0.0075319047999801115,0.0059786897199956,0.000939079150048201,0.00016184833002625966,0.0009566852500574896,0.0008107315000233939,
Number of Turns,0.0,0.0,0.04737330887699197,0.007185060896704441,,,,,
Player 1 Turn Taking,0.0,0.0,0.0400327547427938,0.010622281875809818,,,,,
Player 2 Turn Taking,0.0,0.0,0.061339886571380765,0.023318516540697637,,,,,
Player 3 Turn Taking,0.0,0.0,0.024661189645578906,0.01843938794980966,,,,,
Player 4 Turn Taking,0.0,0.0,0.03686296269650332,0.020690914596106582,,,,,
Player 1 SA Average,0.053571428571428555,0.11278195488721804,0.061566043370803604,0.056153528851327565,,,,,
Player 2 SA Average,0.7964285714285717,0.5714285714285714,0.1838063421480566,0.4440773486493419,,,,,
Player 3 SA Average,0.0,0.0,0.060035875986254594,0.010663198805249281,,,,,
Player 4 SA Average,0.06249999999999998,0.13157894736842105,0.10524075475471041,0.18952728643473224,,,,,
SA 3 Turn Taking,0.0874999999999998,0.1842105263157895,0.06254868108420443,0.03579867464694635,,,,,
SA 4 Turn Taking,0.0,0.0,0.06727850489145983,0.072919876216369,,,,,
SA 5 Turn Taking,0.0,0.0,0.016887960281388236,0.006778717892445244,,,,,
SA 6 Turn Taking,0.0,0.0,0.029609440138371038,0.008985387590475295,,,,,
Positive Sentiment Rating,0.0,0.0,0.042053332023657276,0.011170068980512145,,,,,
Negative Sentiment Rating,0.0,0.0,0.08700446495234983,0.06355072230039353,,,,,
Neutral Sentiment Rating,0.0,0.0,0.04902092664141823,0.010968254195108145,,,,,
Compound Sentiment Rating,0.0,0.0,0.024677571194077246,0.009150773577971024,,,,,
